DateVal,CMODateCount,CumCases
31/01/2020,2,2
01/02/2020,0,2
02/02/2020,0,2
03/02/2020,0,2
04/02/2020,0,2
05/02/2020,0,2
06/02/2020,1,3
07/02/2020,0,3
08/02/2020,0,3
09/02/2020,1,4
10/02/2020,4,8
11/02/2020,0,8
12/02/2020,0,8
13/02/2020,1,9
14/02/2020,0,9
15/02/2020,0,9
16/02/2020,0,9
17/02/2020,0,9
18/02/2020,0,9
19/02/2020,0,9
20/02/2020,0,9
21/02/2020,0,9
22/02/2020,0,9
23/02/2020,0,9
24/02/2020,4,13
25/02/2020,0,13
26/02/2020,0,13
27/02/2020,0,13
28/02/2020,6,19
29/02/2020,4,23
01/03/2020,12,35
02/03/2020,5,40
03/03/2020,11,51
04/03/2020,34,85
05/03/2020,29,114
06/03/2020,46,160
07/03/2020,46,206
08/03/2020,65,271
09/03/2020,50,321
10/03/2020,52,373
11/03/2020,83,456
12/03/2020,139,590
13/03/2020,207,797
14/03/2020,264,1061
15/03/2020,330,1391
